Star Language Model Training
============================
Data file: "data\\star_corpus_v1.txt"
Epochs: 1
Sequence length: 128
Batch size: 32
Hidden size: 256

Vocabulary size: 227
Loaded 12481 conversations
Creating model with 227 parameters...
Model has 926883 parameters

Starting training...
Training with 58267 sequences
Learning rate: 0.001, Gradient clip: 5
Epoch 1 Batch 1130/1820 Loss: 2450.2932
Epoch 1 Batch 1140/1820 Loss: 2459.4167
Epoch 1 Batch 1150/1820 Loss: 2469.5630
Epoch 1 Batch 1160/1820 Loss: 2478.5022
Epoch 1 Batch 1170/1820 Loss: 2487.1843
Epoch 1 Batch 1180/1820 Loss: 2496.2087
Epoch 1 Batch 1190/1820 Loss: 2505.2568
Epoch 1 Batch 1200/1820 Loss: 2514.2949
Epoch 1 Batch 1210/1820 Loss: 2522.4285
Epoch 1 Batch 1220/1820 Loss: 2531.1643
Epoch 1 Batch 1230/1820 Loss: 2539.3323
Epoch 1 Batch 1240/1820 Loss: 2547.4854
Epoch 1 Batch 1250/1820 Loss: 2555.6709
Epoch 1 Batch 1260/1820 Loss: 2563.6897
Epoch 1 Batch 1270/1820 Loss: 2571.4580
Epoch 1 Batch 1280/1820 Loss: 2578.9282
Epoch 1 Batch 1290/1820 Loss: 2587.5115
Epoch 1 Batch 1300/1820 Loss: 2595.2104
Epoch 1 Batch 1310/1820 Loss: 2602.6323
Epoch 1 Batch 1320/1820 Loss: 2610.8562
Epoch 1 Batch 1330/1820 Loss: 2618.9534
Epoch 1 Batch 1340/1820 Loss: 2626.4954
Epoch 1 Batch 1350/1820 Loss: 2633.5376
Epoch 1 Batch 1360/1820 Loss: 2640.7837
Epoch 1 Batch 1370/1820 Loss: 2647.8235
Epoch 1 Batch 1380/1820 Loss: 2654.4387
Epoch 1 Batch 1390/1820 Loss: 2662.0564
Epoch 1 Batch 1400/1820 Loss: 2669.2607
Epoch 1 Batch 1410/1820 Loss: 2676.3770
Epoch 1 Batch 1420/1820 Loss: 2682.7126
Epoch 1 Batch 1430/1820 Loss: 2688.4824
Epoch 1 Batch 1440/1820 Loss: 2695.5515
Epoch 1 Batch 1450/1820 Loss: 2701.9651
Epoch 1 Batch 1460/1820 Loss: 2708.1741
Epoch 1 Batch 1470/1820 Loss: 2714.4204
Epoch 1 Batch 1480/1820 Loss: 2721.5310
Epoch 1 Batch 1490/1820 Loss: 2728.5034
Epoch 1 Batch 1500/1820 Loss: 2734.2644
Epoch 1 Batch 1510/1820 Loss: inf
Epoch 1 Batch 1520/1820 Loss: inf
Epoch 1 Batch 1530/1820 Loss: inf
Epoch 1 Batch 1540/1820 Loss: inf
Epoch 1 Batch 1550/1820 Loss: inf
Epoch 1 Batch 1560/1820 Loss: inf
Epoch 1 Batch 1570/1820 Loss: inf
Epoch 1 Batch 1580/1820 Loss: inf
Epoch 1 Batch 1590/1820 Loss: inf
Epoch 1 Batch 1600/1820 Loss: inf
